modelo,peaje,target,rmse_train,mae_train,rmse_val,mae_val,rmse_test,mae_test,smape_val,smape_test,mase_val,mase_test
xgb_bicentenario_sentido_1,BICENTENARIO,sentido_1,23.889477878771494,16.39357566833496,170.17690129502006,119.60942840576172,99.9562111157931,75.22029113769531,9.927852974781901,7.037419800328866,0.4299702166751473,0.27040079764335645
xgb_bicentenario_sentido_2,BICENTENARIO,sentido_2,22.298320293031605,15.463018417358398,149.25931058689437,96.59993743896484,113.82334517246451,72.89778900146484,7.997602153760061,5.710102418304831,0.2935416596257226,0.2215170713793794
xgb_casablanca_sentido_1,CASABLANCA,sentido_1,13.127209286715381,9.253801345825195,443.5139689175528,304.94647216796875,382.8303720317916,236.23826599121094,6.074102329043766,4.58885939044426,0.4131432030233527,0.320056928691853
xgb_casablanca_sentido_2,CASABLANCA,sentido_2,161.3946662106589,116.5941162109375,393.35380861255175,252.72218322753906,375.4224911682836,248.1649627685547,5.923619134718184,4.4979529607746915,0.39868225921321165,0.3914930080474391
xgb_cerritos_ii_sentido_1,CERRITOS II,sentido_1,36.12047508966521,27.239967346191406,444.81441003524156,336.70379638671875,458.7697032553479,352.26068115234375,4.976443168230205,5.258596366390081,0.6417861097226011,0.6714388464548429
xgb_cerritos_ii_sentido_2,CERRITOS II,sentido_2,32.178127427891525,24.3027400970459,271.3592234013799,224.850341796875,274.15425345505764,223.65145874023438,4.200082193871643,4.383498718754026,0.48920776824455753,0.48659941393178174
xgb_la_parada_sentido_2,LA PARADA,sentido_2,402.23586053458735,261.58770751953125,2767.3114208559905,1335.580078125,513.0624352844399,371.55767822265625,7.848627745065329,2.2002796940504927,0.8556545860013047,0.23804263127321607
xgb_peaje_tunel_la_linea_quindio_sentido_2,PEAJE TUNEL LA LINEA QUINDIO,sentido_2,162.0583782738492,120.6836166381836,438.20004706754656,318.1868591308594,422.7669459938892,304.3688659667969,7.5054969727350205,7.535134147202062,0.566377528796179,0.5417812061266959
xgb_peaje_tunel_la_linea_tolima_sentido_1,PEAJE TUNEL LA LINEA TOLIMA,sentido_1,32.88572929716247,24.21627426147461,363.45830228514524,270.1894226074219,395.64903165558235,310.42816162109375,6.703509360853828,8.229864780031146,0.5094322897913308,0.5853008877123319
xgb_pto_triunfo_sentido_1,PTO. TRIUNFO,sentido_1,50.644592562872646,37.344364166259766,493.00358137644395,280.6802673339844,467.4725760673026,256.8708801269531,22.59393846042383,12.44691071803144,0.6490669274508248,0.5940082619801983
xgb_pto_triunfo_sentido_2,PTO. TRIUNFO,sentido_2,95.45610083960061,70.79423522949219,454.66679076550116,263.25799560546875,507.2898733712314,353.8183288574219,23.47100078204274,18.116423066709032,0.6052376146727653,0.8134384803096872
xgb_sachica_sentido_1,SACHICA,sentido_1,36.463859328235884,25.927959442138672,258.35486133417345,184.33224487304688,295.30945104246155,194.59490966796875,7.6446097055554,7.83586120061521,0.3227065037082935,0.3406730816297798
xgb_sachica_sentido_2,SACHICA,sentido_2,5.046974582693526,3.5313148498535156,218.8578841108997,156.05223083496094,267.61136700446787,181.10354614257812,6.172603430890506,6.29009294966128,0.29128400070963345,0.3380443374139016
